date,channel,campaign,country,bid,daily_budget,impressions,clicks,conversions,spend_usd
2025-01-01,Naver,Flight,TH,0.519,132.97,6805,129,6,67.43
2025-01-11,Facebook,Hotel,TW,0.506,383.66,16519,330,8,197.01
2025-01-13,Baidu,Vacation,TW,0.415,274.01,519,7,0,2.86
2025-02-04,Google,Vacation,TW,1.289,462.71,18388,568,28,462.71
2025-02-01,Facebook,Flight,JP,1.744,184.75,10611,302,7,184.75
2025-02-01,Twitter,Hotel,JP,0.128,64.65,6392,135,2,14.71
2025-01-23,Google,Flight,TW,1.194,242.28,10162,326,16,242.28
2025-02-20,Baidu,Vacation,TW,0.931,228.27,11408,216,9,228.27
2025-01-25,Baidu,Vacation,KR,1.086,233.87,10712,308,13,233.87
2025-02-04,Google,Flight,TW,0.111,390.42,6195,116,3,15.54
2025-01-01,Twitter,Hotel,TW,1.806,201.89,6958,214,6,201.89
2025-02-18,Baidu,Vacation,TW,0.158,301.66,3746,74,1,10.68
2025-01-28,Naver,Flight,SG,0.597,359.64,5117,104,2,52.06
2025-01-09,Naver,Flight,JP,1.264,295.12,6705,196,10,254.21
2025-02-01,Naver,Flight,JP,0.389,115.26,648,13,0,4.09
2025-01-28,Facebook,Flight,JP,0.535,148.29,13260,237,2,108.84
2025-02-10,Twitter,Vacation,TH,1.724,115.1,18942,597,16,115.1
2025-01-11,Facebook,Flight,TH,0.604,343.41,13254,228,5,172.61
2025-02-12,Twitter,Flight,TH,1.809,181.47,15668,445,9,181.47
2025-01-08,Twitter,Hotel,SG,0.372,343.7,8491,177,7,64.18
2025-02-13,Naver,Vacation,JP,1.268,482.63,15255,448,11,426.14
2025-02-03,Twitter,Vacation,JP,0.696,494.75,5437,113,6,92.32
2025-02-28,Twitter,Hotel,KR,0.504,79.54,13948,276,10,79.54
2025-01-05,Google,Flight,SG,0.688,129.65,9271,174,14,110.49
2025-01-03,Baidu,Flight,TW,0.794,359.23,13935,289,13,221.21
2025-02-14,Google,Vacation,SG,0.153,376.76,8304,195,13,23.74
2025-02-18,Facebook,Flight,TW,0.871,454.76,390,8,0,7.5
2025-02-28,Facebook,Vacation,TH,1.167,413.75,2334,71,2,79.43
2025-01-18,Google,Flight,TW,0.842,277.64,18569,367,15,277.64
2025-02-15,Naver,Vacation,JP,1.79,353.04,3890,145,3,252.74
2025-02-04,Google,Flight,TH,0.769,387.98,3351,61,0,35.02
2025-02-23,Facebook,Vacation,SG,1.944,173.39,1542,41,1,98.85
2025-02-01,Baidu,Flight,TH,0.41,94.72,18069,373,19,94.72
2025-01-11,Naver,Flight,JP,1.262,356.77,17994,498,13,356.77
2025-01-10,Facebook,Flight,KR,0.625,299.14,15400,318,10,184.66
2025-02-02,Twitter,Vacation,TH,1.469,143.9,3237,92,0,143.9
2025-02-19,Twitter,Vacation,JP,1.182,285.96,835,19,1,28.63
2025-01-06,Baidu,Flight,SG,1.675,423.74,220,5,0,6.57
2025-01-16,Google,Flight,JP,1.069,315.02,19723,622,35,315.02
2025-02-01,Google,Hotel,JP,0.464,201.37,1924,42,1,16.71
2025-01-04,Baidu,Hotel,JP,0.711,68.14,10093,215,13,68.14
2025-02-20,Google,Flight,TH,0.235,178.54,7073,137,5,33.96
2025-01-25,Naver,Vacation,JP,0.656,198.16,3958,82,2,66.69
2025-01-10,Facebook,Hotel,TH,1.506,340.32,17162,512,22,340.32
2025-01-16,Google,Hotel,TW,0.296,462.99,6331,124,4,46.68
2025-02-17,Twitter,Hotel,JP,1.105,401.81,9708,301,8,347.75
2025-01-19,Naver,Flight,SG,1.759,404.5,18881,568,17,404.5
2025-02-24,Facebook,Vacation,KR,0.159,329.94,18979,381,16,54.55
2025-02-26,Naver,Hotel,KR,1.861,215.9,6633,206,9,215.9
2025-01-06,Facebook,Hotel,TH,1.413,240.04,8259,250,3,240.04
2025-02-19,Naver,Hotel,SG,1.747,368.24,12883,399,13,368.24
2025-02-28,Google,Vacation,KR,1.723,314.69,5625,163,8,254.2
2025-01-04,Twitter,Hotel,JP,1.975,393.73,5528,177,4,353.04
2025-01-06,Google,Hotel,JP,1.515,254.01,7586,210,8,254.01
2025-01-30,Baidu,Vacation,SG,0.752,383.64,3515,82,3,66.5
